taskId,userId,title,priority,status
TASK1,U58,Study session,High,Completed
TASK2,U126,Code review,Low,Pending
TASK3,U280,Project milestone,High,Completed
TASK4,U17,Study session,Low,Pending
TASK5,U120,Grocery planning,High,Pending
TASK6,U288,Code review,High,Completed
TASK7,U113,Workout plan,High,Completed
TASK8,U4,Team meeting,High,Completed
TASK9,U175,Prepare presentation,Low,Pending
TASK10,U173,Project milestone,Low,Completed
TASK11,U50,Submit assignment,Medium,Completed
TASK12,U23,Workout plan,High,Pending
TASK13,U194,Project milestone,High,Completed
TASK14,U186,Backend debugging,Low,Pending
TASK15,U24,Code review,Medium,Pending
TASK16,U120,Project milestone,Medium,Completed
TASK17,U233,Submit assignment,Low,Completed
TASK18,U182,Code review,High,Completed
TASK19,U37,Backend debugging,High,Pending
TASK20,U274,Code review,Low,Completed
TASK21,U195,Prepare presentation,High,Pending
TASK22,U167,Study session,Low,Pending
TASK23,U162,Research paper reading,Medium,Pending
TASK24,U109,Backend debugging,High,Completed
TASK25,U109,Workout plan,Medium,Completed
TASK26,U74,Prepare presentation,Low,Pending
TASK27,U288,Grocery planning,Medium,Completed
TASK28,U299,Research paper reading,Medium,Pending
TASK29,U71,Grocery planning,Medium,Pending
TASK30,U25,Project milestone,Low,Pending
TASK31,U217,Backend debugging,Low,Completed
TASK32,U196,Backend debugging,Medium,Completed
TASK33,U284,Study session,High,Pending
TASK34,U275,Prepare presentation,High,Completed
TASK35,U58,Prepare presentation,Medium,Pending
TASK36,U233,Study session,High,Completed
TASK37,U257,Team meeting,High,Pending
TASK38,U153,Grocery planning,High,Pending
TASK39,U79,Submit assignment,Low,Pending
TASK40,U166,Workout plan,Low,Pending
TASK41,U186,Prepare presentation,Low,Pending
TASK42,U124,Backend debugging,Low,Pending
TASK43,U249,Project milestone,High,Pending
TASK44,U66,Workout plan,High,Pending
TASK45,U136,Grocery planning,High,Completed
TASK46,U109,Grocery planning,High,Pending
TASK47,U160,Research paper reading,High,Completed
TASK48,U225,Grocery planning,Medium,Pending
TASK49,U127,Code review,Low,Completed
TASK50,U11,Backend debugging,High,Pending
TASK51,U113,Study session,Low,Pending
TASK52,U118,Project milestone,Low,Completed
TASK53,U37,Grocery planning,Low,Completed
TASK54,U249,Code review,High,Pending
TASK55,U293,Backend debugging,Medium,Pending
TASK56,U243,Research paper reading,Low,Pending
TASK57,U50,Research paper reading,Medium,Completed
TASK58,U211,Workout plan,High,Pending
TASK59,U51,Study session,Medium,Completed
TASK60,U56,Code review,Low,Pending
TASK61,U275,Workout plan,Low,Completed
TASK62,U94,Prepare presentation,Medium,Pending
TASK63,U39,Workout plan,High,Pending
TASK64,U26,Grocery planning,Low,Pending
TASK65,U122,Team meeting,Medium,Completed
TASK66,U247,Code review,Medium,Pending
TASK67,U85,Research paper reading,Low,Completed
TASK68,U136,Workout plan,Medium,Completed
TASK69,U285,Workout plan,Low,Pending
TASK70,U152,Code review,Low,Pending
TASK71,U161,Study session,Low,Completed
TASK72,U258,Grocery planning,Low,Pending
TASK73,U261,Project milestone,Low,Pending
TASK74,U35,Code review,Medium,Pending
TASK75,U292,Code review,High,Pending
TASK76,U42,Research paper reading,High,Completed
TASK77,U134,Code review,High,Completed
TASK78,U123,Prepare presentation,Medium,Pending
TASK79,U154,Workout plan,Medium,Pending
TASK80,U5,Workout plan,High,Pending
TASK81,U38,Grocery planning,Low,Completed
TASK82,U68,Submit assignment,Low,Pending
TASK83,U190,Prepare presentation,Low,Completed
TASK84,U279,Prepare presentation,High,Pending
TASK85,U284,Prepare presentation,High,Pending
TASK86,U69,Prepare presentation,Low,Pending
TASK87,U284,Team meeting,Medium,Completed
TASK88,U108,Submit assignment,Low,Completed
TASK89,U259,Workout plan,Medium,Pending
TASK90,U48,Research paper reading,Medium,Pending
TASK91,U2,Submit assignment,Low,Completed
TASK92,U83,Workout plan,High,Completed
TASK93,U288,Study session,Low,Pending
TASK94,U77,Grocery planning,Low,Completed
TASK95,U299,Grocery planning,Low,Completed
TASK96,U66,Study session,Medium,Completed
TASK97,U21,Submit assignment,Low,Pending
TASK98,U53,Submit assignment,High,Completed
TASK99,U80,Code review,Low,Pending
TASK100,U212,Study session,Low,Completed
TASK101,U211,Code review,Medium,Pending
TASK102,U56,Research paper reading,Low,Completed
TASK103,U114,Code review,Medium,Completed
